school,degree,field_of_study,start_date,end_date,link
IESB,Bachelor's degree,Data Science & AI,02/01,in progress,
SENAI,Technical education,Electromechanical Engineering,7/2017,11/27,https://github.com/s33ding/myCertificates/blob/main/flask/media/diploma/technical%20education.pdf
UniCeub,Bachelor's degree,Architecture ,2/2015,11/28,https://github.com/s33ding/myCertificates/blob/main/flask/media/diploma/bachelor%20degree.pdf
